0,0,(0:2),0
1,0,(3:3),0
2,0,(3:3),2
3,0,(5:7),0
4,0,(3:7),1
5,0,(3:0),1
6,0,(3:3),2
7,0,(7:7),2
8,0,(7:4),0
9,0,(2:2),0
10,0,(4:1),0
11,0,(0:4),1
12,0,(1:2),1
13,0,(7:6),1
14,0,(9:7),1
15,0,(0:2),1
16,0,(4:5),1
17,0,(4:7),0
18,0,(2:1),1
19,0,(0:4),2
20,1,(18:7),2
21,1,(13:3),1
22,1,(10:1),2
23,1,(10:3),2
24,1,(15:4),0
25,1,(11:6),1
26,1,(12:6),1
27,1,(19:5),2
28,1,(14:3),2
29,1,(17:3),2
30,1,(10:0),1
31,1,(16:6),1
32,1,(10:3),2
33,1,(13:7),2
34,1,(18:6),0
35,1,(17:1),1
36,1,(14:1),1
37,1,(13:5),2
38,1,(18:1),2
39,1,(13:2),1
40,2,(13:11),2
41,2,(14:10),2
42,2,(15:13),2
43,2,(19:9),0
44,2,(15:8),0
45,2,(18:8),0
46,2,(13:9),0
47,2,(16:11),2
48,2,(13:19),2
49,2,(19:19),1
50,2,(14:11),0
51,2,(15:10),0
52,2,(14:11),0
53,2,(15:13),2
54,2,(13:16),0
55,2,(14:13),0
56,2,(19:12),1
57,2,(13:18),1
58,2,(16:19),2
59,2,(13:8),1
60,3,(9:11),2
61,3,(10:14),0
62,3,(10:17),0
63,3,(10:16),2
64,3,(12:18),0
65,3,(10:18),1
66,3,(10:13),2
67,3,(10:19),1
68,3,(8:15),0
69,3,(9:12),0
70,3,(12:12),0
71,3,(12:8),2
72,3,(10:15),1
73,3,(10:8),1
74,3,(11:13),0
75,3,(6:15),1
76,3,(12:13),1
77,3,(8:15),1
78,3,(11:9),2
79,3,(12:15),2
80,4,(1:9),0
81,4,(1:12),0
82,4,(4:13),1
83,4,(3:11),0
84,4,(2:15),2
85,4,(4:15),2
86,4,(1:16),1
87,4,(5:17),2
88,4,(4:10),1
89,4,(4:8),0
90,4,(0:18),2
91,4,(5:15),2
92,4,(4:16),0
93,4,(5:18),1
94,4,(3:8),1
95,4,(4:12),1
96,4,(4:13),2
97,4,(3:18),1
98,4,(5:15),2
99,4,(1:16),0
